# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,4.479665071770334,8.376196172248804,-0.7493059983880013,0,3.0,0.012502155766248213,0.0,0.0,0.038607073058160316
 0.0920300490773407,4.49236828027566,8.376030032035585,-0.7493059983880013,0.27609014723202213,3.0,0.012502155766248213,0.0035530108282749717,0.23904859477632662,0.28050711003330014
 0.1300272015272819,4.505023538869846,8.375866525531931,-0.740222832489341,0.3900816045818457,3.0000000000000004,0.01253375664290986,0.014211482251502705,0.31203622812666054,0.6109577574414613
 0.15909999535899777,4.517631115352017,8.37570563159734,-0.7311510675609884,0.47729998607699337,3.000000000000001,0.012564343458364826,0.031973731173485787,0.37069017664141063,1.0173184467412655
 0.18353995477914936,4.530191277521297,8.375547329091319,-0.7220914146864235,0.5506198643374481,3.0,0.012593889877244172,0.05683695272921396,0.4213468546629402,1.4885183715703527
 0.20501114963235667,4.542704293176814,8.37539159687337,-0.7130445942691694,0.61503344889707,2.9999999999999973,0.012622368978031347,0.08879722072777985,0.46667212883187503,2.017500690279126
 0.22436790511341187,4.555170430117695,8.375238413802993,-0.7040113359815473,0.6731037153402356,3.0,0.012649754375267991,0.12784948827237297,0.5081002167622609,2.5992781725806795
 0.2421182562576514,4.567589956143064,8.375087758739692,-0.6949923787175529,0.7263547687729541,2.999999999999995,0.012676019105443921,0.17398758855723728,0.5465093391541909,3.2300857311845483
 0.25859356116070087,4.579963139052048,8.374939610542972,-0.6859884707226236,0.7757806834821026,3.000000000000005,0.012701135030730724,0.22720423584149219,0.582483154711386,3.906947584159586
 0.27402422396318077,4.592290246643775,8.374793948072332,-0.6770003695741474,0.8220726718895423,2.9999999999999964,0.012725073965433547,0.2874910265996222,0.6164322752126978,4.627430505935853
 0.2885781787254367,4.604571546717367,8.374650750187277,-0.6680288421267073,0.8657345361763099,2.999999999999996,0.012747808866333091,0.3548384408484956,0.6486579260643087,5.389491654882638
 0.3023823382948833,4.616807307071953,8.374509995747307,-0.6590746646093293,0.9071470148846499,3.000000000000004,0.012769310319102643,0.42923584365069656,0.679388302583939,6.191379028406056
 0.315535408518746,4.628997795506659,8.374371663611926,-0.6501386225561719,0.946606225556238,3.0,0.012789550650987783,0.5106714867938722,0.7088006957946335,7.031563288521984
 0.3281159713640618,4.641143279820611,8.37423573264064,-0.641221510857924,0.9843479140921852,2.9999999999999956,0.012808499770227801,0.5991325106459383,0.7370356774465437,7.908689325104381
 0.3401878117936467,4.653244027812933,8.374102181692948,-0.6323241337688783,1.02056343538094,3.0000000000000044,0.01282612997079109,0.6946049461857601,0.764206574872739,8.821540791144313
 0.35180355709815325,4.665300307282753,8.37397098962835,-0.6234473048351272,1.0554106712944598,3.000000000000005,0.012842411101518804,0.7970737172090075,0.7904060019247516,9.769013475646277
 0.3630072396166322,4.677312386029198,8.373842135306356,-0.614591846928862,1.0890217188498967,3.000000000000005,0.012857313586795507,0.9065226427088913,0.815710505098,10.750094881939527
 0.37383614838449597,4.6892805318513915,8.373715597586463,-0.6057585922881678,1.121508445153488,3.0000000000000053,0.012870807834658186,1.0229344394312934,0.8401839627233404,11.763848276692405
 0.3843221970202252,4.70120501254846,8.373591355328175,-0.596948382392091,1.1529665910606757,3.0,0.012882862970256903,1.1462907246040293,0.8638800830360023,12.809400032052512
 0.39449295395729084,4.713086095919533,8.373469387390994,-0.5881620680447598,1.1834788618718726,2.9999999999999947,0.012893450008357987,1.2765720188396763,0.8868443277461505,13.885929440930823
 0.4043724316656789,4.724924049763732,8.373349672634424,-0.5794005092779814,1.2131172949970366,2.999999999999989,0.012902537399539737,1.4137577492116016,0.9091153676210325,14.992660421383807
 0.4139817004173136,4.736719141880186,8.373232189917967,-0.5706645753842696,1.2419451012519407,3.0,0.012910094860546504,1.5578262525026754,0.930726238487155,16.128854686102315
 0.4233393720598954,4.74847164006802,8.373116918101127,-0.5619551448553716,1.2700181161796862,3.0,0.012916092121646508,1.7087547786261381,0.9517052431025356,17.29380606345179
 0.4324619859606818,4.76018181212636,8.373003836043402,-0.553273105375193,1.2973859578820452,2.999999999999988,0.012920496249618062,1.8665194942180874,0.9720766893278393,18.486835734780524
 0.44136432027814165,4.771849925854333,8.3728929226043,-0.5446193537045871,1.324092960834425,3.0000000000000187,0.012923276954632969,2.031095486401067,0.9918614531600443,19.70728820883886
 0.45005964550508826,4.7834762490510645,8.372784156643322,-0.5359947957892887,1.3501789365152648,3.0,0.012924404683785987,2.202456766718091,1.0110774931080118,20.954527895098003
 0.4585599328611249,4.79506104951568,8.37267751701997,-0.5274003465586494,1.3756797985833746,2.9999999999999933,0.012923845118669581,2.3805762752365096,1.0297402168393555,22.227936168233946
 0.4668760269953505,4.806604595047306,8.372572982593747,-0.5188369299816153,1.4006280809860516,3.0000000000000133,0.012921568050983248,2.5654258848211016,1.047862824894653,23.52690883876333
 0.47501779020220936,4.818107153445069,8.372470532224153,-0.5103054789880529,1.4250533706066282,3.0000000000000067,0.012917541944858196,2.7569764055756667,1.0654565921817014,24.85085396221707
 0.48299422369532674,4.8295689925080945,8.372370144770695,-0.5018069353407121,1.4489826710859803,3.0,0.012911733874677938,2.955197589452464,1.0825310727931616,26.199189932485528
 0.4908135702516189,4.840990380035509,8.372271799092873,-0.4933422497245876,1.472440710754857,3.000000000000007,0.012904111635547947,3.1600581350286894,1.0990943357437555,27.571343815386644
